eventID,cardSN,status,registerTime,process
48,AB817D63,IN,2015-07-17 04:18:38,Fail
49,AB817D63,IN,2015-07-17 04:18:57,Fail
1,AB817D63,IN,2015-07-17 04:19:08,Fail
