eventID,cardSN,status,registerTime,process
137,9E7DD76D,IN,2015-07-30 04:18:38,Success
137,AB817D63,IN,2015-07-17 04:18:57,Fail
137,AB817D63,IN,2015-07-17 04:19:08,Fail
